id,population,serie_bac,note_maths,note_sciences,note_langues,note_eco,matieres_preferees,competences,interets,environnement,metiers_vises,filiere,satisfaction
etu-0034,etudiant,S,1,3,2,3,Physique-Chimie|SVT|Arts,Vente / negociation|Travail en equipe,Tourisme / hotellerie|Agriculture / environnement|BTP / construction,Mixte,Technique / ingenierie|Entrepreneur / independant,IAA,2
etu-0035,etudiant,D,3,1,2,2,Sport,Redaction / communication|Creativite / design|Travail en equipe,Technologie / informatique|Art / design / audiovisuel|Communication / medias,Bureau,Technique / ingenierie|Entrepreneur / independant,IMTICIA,4
etu-0036,etudiant,D,2,4,3,3,Physique-Chimie|SVT|Informatique / Technologie|Histoire-Geographie|Sport,Programmation|Analyse de donnees / logique|Travail en equipe,Technologie / informatique|Sciences|Finance / comptabilite|Sante / social,Mixte,Technique / ingenierie|Commerce / relation client,CAA,4
etu-0037,etudiant,A2,1,2,1,2,Physique-Chimie|Langues etrangeres|Sport,,Droit / justice,Atelier / usine,Gestion / management,DTJA,5
etu-0038,etudiant,D,4,3,3,2,Mathematiques|Physique-Chimie|SVT,Creativite / design,Art / design / audiovisuel|Agriculture / environnement,Mixte,,EMP,4
pro-0039,professionnel,D,3,3,3,4,Mathematiques|Physique-Chimie|SVT,Organisation / gestion de projet,Entrepreneuriat / business,Mixte,Gestion / management|Entrepreneur / independant,EMP,3
etu-0040,etudiant,S,2,3,2,3,Physique-Chimie|SVT,Redaction / communication|Organisation / gestion de projet,Technologie / informatique|Entrepreneuriat / business|Finance / comptabilite|Communication / medias,Terrain / exterieur,Gestion / management,ESIIA,2
etu-0041,etudiant,S,3,3,2,3,Mathematiques|Physique-Chimie|SVT,Analyse de donnees / logique|Redaction / communication|Organisation / gestion de projet,Sciences|Entrepreneuriat / business|Tourisme / hotellerie,Atelier / usine,Technique / ingenierie,EMII,5
etu-0042,etudiant,D,3,2,4,3,Physique-Chimie|SVT,Analyse de donnees / logique,Technologie / informatique|Art / design / audiovisuel,Bureau,Technique / ingenierie|Creation / design,IMTICIA,4
pro-0043,professionnel,C,5,4,5,4,Mathematiques|Physique-Chimie|Informatique / Technologie,Programmation|Redaction / communication,Technologie / informatique|Sciences,Mixte,Technique / ingenierie|Recherche / enseignement,ESIIA,5
etu-0044,etudiant,S,2,3,2,1,Mathematiques|Physique-Chimie|SVT,Redaction / communication,Agriculture / environnement,Laboratoire,Technique / ingenierie|Entrepreneur / independant,IAA,4
etu-0046,etudiant,C,4,4,5,1,Mathematiques|Physique-Chimie|Langues etrangeres,Programmation|Analyse de donnees / logique,Technologie / informatique,Mixte,Entrepreneur / independant,IGGLIA,3
etu-0048,etudiant,C,4,4,3,2,Mathematiques,,Agriculture / environnement,Terrain / exterieur,Entrepreneur / independant,AEE,5
etu-0049,etudiant,A2,2,2,3,2,Francais / Litterature|Arts,Redaction / communication|Creativite / design|Travail en equipe,Art / design / audiovisuel,Mixte,Gestion / management|Creation / design|Commerce / relation client|Recherche / enseignement|Entrepreneur / independant,DTJA,5
